quarter,headline_inflation,core_inflation,gdp_growth,output_gap,unemployment,policy_rate,expected_inflation,financial_conditions,credit_growth,energy_inflation,real_policy_rate
1990-03-31,,,,1.63805055,5.3,8.25,3.96666667,0.05776923,,,4.28333333
1990-06-30,3.50130835,3.96329729,1.44925153,1.30943224,5.33333333,8.24333333,3.6,0.00561538,2.07020659,-80.72078398,4.64333333
1990-09-30,6.08592191,4.06222065,0.26623809,0.6984277,5.7,8.16,4.23333333,0.08992308,3.74061093,153.76275142,3.92666667
1990-12-31,3.16285315,2.39419829,-3.65829626,-0.87217002,6.13333333,7.74333333,4.73333333,0.46761538,-1.09011261,82.0172264,3.01
1991-03-31,1.80737992,3.92646764,-1.87615566,-1.97259366,6.6,6.42666667,3.53333333,0.18407692,0.06000808,-151.37149053,2.89333333
1991-06-30,3.05263012,3.25461282,3.10666076,-1.83417388,6.83333333,5.86333333,3.2,-0.23207692,-1.1681119,-22.73208618,2.66333333
1991-09-30,2.93297178,3.90769421,2.01634414,-1.95860382,6.86666667,5.64333333,3.1,-0.47253846,-2.54173278,16.69273654,2.54333333
1991-12-31,2.62396989,2.61139219,1.39175534,-2.24257641,7.1,4.81666667,2.93333333,-0.61007692,-1.43115407,2.84783,1.88333333
1992-03-31,2.52427094,3.17011099,4.76056737,-1.70736589,7.36666667,4.02333333,2.63333333,-0.66061538,0.70768874,-56.8135535,1.39
1992-06-30,2.31895726,2.18245849,4.31386744,-1.28593047,7.6,3.77,3.0,-0.81561538,-1.08512624,46.54110275,0.77
1992-09-30,2.50654219,2.52300279,3.9330412,-0.96772122,7.63333333,3.25666667,2.83333333,-0.9,1.46360619,7.87763858,0.42333333
1992-12-31,2.89627426,3.15146431,4.14982149,-0.60220644,7.36666667,3.03666667,2.83333333,-0.74738462,2.94826719,-22.60223527,0.20333333
1993-03-31,2.39248171,2.79819687,0.6672181,-1.11511301,7.13333333,3.04,3.06666667,-0.95169231,3.72281558,-13.86177731,-0.02666667
